Dataset,Optimal,LS1_Time(s),LS1_Size,LS1_RelErr
small1,5,0,5,0
small2,3,0,4,0.33
small3,5,0,6,0.2
small4,4,0,5,0.25
small5,5,0,6,0.2
small6,3,0,4,0.33
small7,3,0,4,0.33
small8,2,0,3,0.5
small9,3,0,4,0.33
small10,2,0,2,0
small11,4,0,5,0.25
small12,3,0,4,0.33
small13,2,0,3,0.5
small14,2,0,2,0
small15,2,0,3,0.5
small16,2,0,3,0.5
small17,2,0,3,0.5
small18,2,0,2,0
large1,50,0,50,0
large2,19,0,20,0.05
large3,15,0,17,0.13
large4,91,0,152,0.67
large5,6,0,8,0.33
large6,6,0,7,0.17
large7,95,0,172,0.81
large8,5,0,6,0.2
large9,14,0,16,0.14
large10,221,0,318,0.44
large11,40,0,56,0.4
large12,15,0,18,0.2
